@RELATION gradientboosting_model32
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {bluejay_all_clean,cardinal_song_clean,chickadee_song_clean,crow_all_clean,goldfinch_song_clean,robin_song_clean,sparrow_song_clean,titmouse_song_clean}

@DATA
0.188393,0.021335,2.875774,0.235635,0.125976,1.019156,0.008445,0.260838,-34.012452,-2.081982,1.153745,-0.576932,0.218103,-0.095562,0.133668,-0.209739,0.230911,-0.115310,-0.060773,0.218166,-0.250203,0.000175,0.000123,0.000118,0.000806,0.000363,0.000318,0.003147,0.000156,0.000124,0.001889,0.000250,0.017236,0.005202,0.019609,0.025449,0.505390,0.014353,0.021190,0.250899,0.004449,0.027205,4.036748,0.799063,0.348294,0.222735,0.259922,0.258229,0.198883,0.180637,0.198884,0.165327,0.153154,0.207960,0.250214,0.000180,0.000159,0.000264,0.001031,0.001096,0.000805,0.003109,0.000277,0.000228,0.002822,0.000344,0.017273,0.004477,bluejay_all_clean
0.132414,0.001037,2.016155,0.158704,0.110820,0.910047,0.012986,0.135544,-36.103516,-3.432770,1.369366,0.053286,-0.952835,1.166837,-0.934913,0.514665,-0.158552,-0.007548,0.001641,0.098107,-0.181695,0.003974,0.010879,0.006614,0.003149,0.006054,0.001768,0.001974,0.001195,0.000781,0.000288,0.000771,0.000472,0.005019,0.056082,0.001871,0.448957,0.040900,0.033433,0.170556,0.031883,0.038413,3.361810,1.194282,0.562632,0.309434,0.480687,0.543677,0.481079,0.301839,0.153959,0.174174,0.191630,0.173973,0.152299,0.003725,0.009487,0.005957,0.003003,0.012195,0.001868,0.002199,0.002005,0.001341,0.000327,0.000808,0.000593,0.003764,bluejay_all_clean
0.135425,0.037628,2.885005,0.181015,0.138126,0.370248,0.020798,0.139690,-31.478433,-2.060678,0.949889,-0.238126,-0.242687,0.520736,-0.652770,0.642488,-0.479674,0.272372,-0.090981,-0.019697,0.121632,0.000041,0.000093,0.003899,0.000812,0.002721,0.024935,0.000206,0.000056,0.000044,0.000128,0.000032,0.000028,0.008119,0.035908,0.068852,0.286964,0.032705,0.029472,0.372026,0.015669,0.038807,3.352663,0.871753,0.356284,0.240305,0.180280,0.208478,0.159482,0.238264,0.309062,0.409955,0.401695,0.309294,0.206284,0.000038,0.000129,0.010295,0.001044,0.004298,0.031238,0.000329,0.000057,0.000043,0.000297,0.000029,0.000022,0.008196,bluejay_all_clean
0.103692,0.023503,2.801831,0.161806,0.153911,0.574258,0.022817,0.114167,-31.614573,-2.399629,0.977577,-0.234931,-0.238314,0.475355,-0.601730,0.589983,-0.427199,0.222166,-0.066827,0.032590,-0.029888,0.000089,0.000163,0.003199,0.016019,0.000466,0.000336,0.004139,0.003365,0.000243,0.000085,0.000073,0.000062,0.006294,0.012307,0.036133,0.466260,0.023503,0.034040,0.333214,0.014283,0.009274,3.894215,0.614532,0.262648,0.286064,0.338364,0.343508,0.276552,0.203341,0.141925,0.190439,0.251506,0.263193,0.256402,0.000106,0.000157,0.007901,0.021089,0.000941,0.000909,0.007558,0.005425,0.000680,0.000190,0.000118,0.000086,0.006010,bluejay_all_clean
0.109296,0.008407,2.808086,0.156365,0.146139,0.304353,0.033027,0.116032,-37.782994,-2.158978,1.127052,-0.677204,0.194191,0.007182,-0.145092,0.363542,-0.477308,0.511329,-0.536807,0.457567,-0.337532,0.000052,0.000049,0.000216,0.000187,0.001061,0.003201,0.015932,0.009275,0.002504,0.000100,0.000225,0.000077,0.007819,0.010094,0.019319,0.384469,0.028933,0.038524,0.319682,0.019905,0.017556,4.113471,0.754246,0.321721,0.377711,0.264263,0.231386,0.281150,0.268448,0.259907,0.236208,0.204349,0.164340,0.167391,0.000073,0.000082,0.000623,0.000412,0.002832,0.006588,0.019703,0.015815,0.005791,0.000132,0.000778,0.000169,0.007648,bluejay_all_clean
0.143426,0.035869,2.902916,0.188907,0.124060,1.032606,0.009557,0.207057,-31.594095,-2.768529,1.268991,-0.373477,-0.100004,0.140627,-0.040057,0.004354,-0.094683,0.205042,-0.181195,-0.001511,0.253003,0.001413,0.000300,0.000495,0.001315,0.010589,0.000255,0.000579,0.000525,0.000950,0.009708,0.000262,0.000073,0.005047,0.014631,0.034883,0.576813,0.016318,0.025663,0.271223,0.005136,0.024333,5.050798,0.832339,0.365109,0.300720,0.294082,0.204484,0.189683,0.228034,0.188168,0.161785,0.186660,0.175317,0.153479,0.002979,0.000436,0.001427,0.001884,0.018122,0.000374,0.000860,0.001605,0.001628,0.014841,0.000395,0.000097,0.006570,bluejay_all_clean
0.172868,0.023466,3.035835,0.238134,0.144272,0.806100,0.007943,0.246030,-32.039791,-2.348400,1.397546,-0.772099,0.363027,-0.180748,0.208470,-0.297340,0.299359,-0.117626,-0.103134,0.240117,-0.215333,0.001446,0.000263,0.000103,0.000089,0.000207,0.000668,0.001422,0.000384,0.000694,0.001247,0.007574,0.006409,0.003909,0.022383,0.023944,0.319694,0.031077,0.020979,0.396677,0.005095,0.069213,4.044180,0.683757,0.368397,0.310888,0.257871,0.259350,0.262931,0.144540,0.165433,0.142426,0.151310,0.178663,0.197348,0.003048,0.000389,0.000148,0.000108,0.000520,0.000614,0.002620,0.000471,0.001005,0.001676,0.010093,0.016598,0.004626,bluejay_all_clean
0.127793,0.000803,2.458545,0.164243,0.117999,0.627223,0.013264,0.156123,-37.988839,-2.610804,1.291617,-0.229106,-0.156154,0.193190,-0.007243,-0.035416,-0.055024,0.198668,-0.305624,0.288417,-0.246129,0.003095,0.000831,0.002337,0.001307,0.000822,0.002081,0.006500,0.005163,0.001077,0.000727,0.000680,0.003301,0.005288,0.029740,0.001563,0.549676,0.031886,0.039911,0.296053,0.010658,0.050514,3.715442,1.129373,0.602069,0.333015,0.408446,0.350392,0.319769,0.283072,0.268537,0.261151,0.228676,0.232360,0.215729,0.005988,0.001334,0.003226,0.002015,0.001125,0.003895,0.020439,0.007894,0.002843,0.001362,0.001237,0.005575,0.006508,bluejay_all_clean
0.059502,0.007521,2.841505,0.119403,0.138894,0.253866,0.058510,0.068573,-37.625920,-0.859261,0.574118,0.135213,-0.251042,0.421952,-0.241929,0.142030,0.082507,-0.140860,0.187774,-0.073363,-0.022686,0.000948,0.009106,0.016601,0.000545,0.058547,0.000288,0.037707,0.002142,0.003658,0.000320,0.001036,0.000118,0.029995,0.033224,0.015367,0.474719,0.047812,0.064840,0.235869,0.096766,0.038321,5.890814,1.216794,0.387904,0.318879,0.352241,0.304011,0.241686,0.178014,0.179775,0.191050,0.181481,0.150583,0.142379,0.001828,0.015859,0.021976,0.001097,0.048870,0.000853,0.054421,0.005047,0.007277,0.000655,0.002222,0.000215,0.017770,bluejay_all_clean
0.123599,0.016124,2.724193,0.166089,0.140219,0.362974,0.034443,0.135807,-34.428151,-1.765035,0.324819,0.073251,-0.311907,0.436802,-0.302862,0.081502,-0.138960,0.255404,-0.099788,-0.106545,0.165398,0.001298,0.000582,0.002671,0.003534,0.002641,0.000736,0.001445,0.000319,0.000546,0.004815,0.000378,0.000617,0.004305,0.029754,0.029073,0.556854,0.030530,0.036593,0.324376,0.026438,0.038189,4.081713,0.737659,0.621586,0.434760,0.324646,0.340265,0.349324,0.419054,0.254724,0.312868,0.239935,0.178275,0.169468,0.002358,0.001556,0.006143,0.007945,0.004993,0.001459,0.002586,0.000456,0.001510,0.011131,0.000836,0.001605,0.005283,bluejay_all_clean
