@RELATION randomforest_cornell
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Baeolophus_bicolor_clean,Cardinalis_cardinalis_clean,Corvus_brachyrhynchos_clean,Cyanocitta_cristata_clean,Passer_domesticus_clean,Poecile_atricapillus_clean,Spinus_tristis_clean,Turdus_migratorius_clean}

@DATA
0.217575,0.011923,2.661869,0.255726,0.129428,0.254321,0.026446,0.237675,-34.994950,0.937131,0.068021,-0.223686,-0.326397,-0.059390,-0.110874,-0.152500,0.015175,-0.052867,-0.035462,-0.028862,-0.064763,0.007713,0.004822,0.006855,0.008452,0.009713,0.006597,0.007504,0.001585,0.008494,0.007405,0.007760,0.003506,0.008802,0.072586,0.014972,0.567816,0.061969,0.040934,0.349632,0.016479,0.077654,4.119239,1.140089,0.671316,0.441562,0.444061,0.385283,0.313392,0.281351,0.246851,0.218991,0.228708,0.209373,0.183633,0.008731,0.007260,0.009847,0.012411,0.013288,0.008438,0.010246,0.003277,0.011831,0.007340,0.007772,0.004331,0.007053,Baeolophus_bicolor_clean
0.140669,0.007733,2.638877,0.189049,0.146005,0.765017,0.015683,0.190033,-32.128960,0.762070,0.284564,-0.407914,-0.455542,0.013018,-0.266661,-0.118268,0.046971,-0.025408,0.023144,-0.101157,-0.040152,0.009679,0.004293,0.010566,0.010617,0.010278,0.007792,0.009448,0.001716,0.014150,0.012179,0.011527,0.007855,0.012517,0.062940,0.009529,0.584469,0.054218,0.037990,0.515782,0.015334,0.089860,3.704648,1.764183,0.856937,0.488476,0.517741,0.447877,0.382152,0.356255,0.339054,0.306731,0.295889,0.259596,0.241837,0.011489,0.005666,0.013384,0.013665,0.014494,0.011064,0.011200,0.002896,0.017586,0.012781,0.012749,0.010251,0.009485,Baeolophus_bicolor_clean
0.121728,0.058091,2.821343,0.172671,0.152738,0.057113,0.045105,0.124133,-31.718948,-2.099820,1.171708,-0.743982,0.402654,-0.155399,-0.063852,0.221781,-0.327440,0.407533,-0.451164,0.468906,-0.444512,0.000034,0.000034,0.000046,0.000050,0.000108,0.000276,0.002086,0.036799,0.001637,0.000139,0.000055,0.000056,0.010719,0.004152,0.060547,0.565603,0.023274,0.031527,0.068119,0.040185,0.006528,4.500594,0.594935,0.202480,0.146032,0.139479,0.138872,0.129885,0.130258,0.130774,0.131444,0.122569,0.115538,0.110121,0.000052,0.000055,0.000070,0.000080,0.000202,0.000664,0.003655,0.044460,0.005076,0.000297,0.000086,0.000113,0.012153,Baeolophus_bicolor_clean
0.107245,0.051929,2.421899,0.157041,0.145183,0.365510,0.030366,0.112791,-30.106716,-2.358150,1.074283,-0.374931,-0.214072,0.567293,-0.776313,0.814332,-0.727548,0.559652,-0.353615,0.166261,-0.007998,0.000064,0.000077,0.000886,0.002525,0.007766,0.011317,0.007354,0.000459,0.000126,0.000064,0.000076,0.000066,0.006020,0.008701,0.059102,0.639472,0.027416,0.039364,0.298985,0.017551,0.007864,3.441062,0.718169,0.269468,0.241555,0.316178,0.376690,0.375564,0.306529,0.202031,0.139348,0.183960,0.242540,0.257001,0.000090,0.000100,0.001644,0.003925,0.008628,0.011372,0.015911,0.001094,0.000241,0.000091,0.000144,0.000137,0.004699,Baeolophus_bicolor_clean
0.200811,0.026873,2.920280,0.248503,0.133139,1.659386,0.002520,0.322595,-30.112213,-3.521018,1.571171,-0.358489,-0.093440,0.019558,0.076492,-0.027986,-0.079009,0.138136,-0.110381,0.048884,0.010915,0.000772,0.000584,0.000708,0.000870,0.001046,0.001144,0.001928,0.002645,0.004291,0.003585,0.001683,0.001346,0.002334,0.021482,0.021362,0.583976,0.012436,0.010055,0.151789,0.000897,0.018451,2.017498,0.944145,0.320850,0.200931,0.211269,0.167242,0.152620,0.138824,0.167926,0.166564,0.129345,0.151984,0.139196,0.000536,0.000408,0.000635,0.000835,0.001141,0.001287,0.002171,0.002653,0.005176,0.004618,0.001311,0.001175,0.001828,Baeolophus_bicolor_clean
0.206084,0.007817,2.717792,0.266530,0.146397,1.627806,0.003183,0.327446,-33.160890,-3.115413,1.435819,-0.411426,0.071577,-0.045196,0.065100,-0.122682,0.209435,-0.189837,0.011156,0.131873,-0.087941,0.001210,0.001105,0.001034,0.000976,0.000994,0.000827,0.001736,0.002065,0.003131,0.003331,0.001849,0.001590,0.002247,0.034401,0.008462,0.694998,0.023999,0.016124,0.310162,0.002028,0.044404,3.106655,0.984151,0.443211,0.267247,0.248205,0.195559,0.195519,0.202396,0.247238,0.339754,0.280868,0.188303,0.161497,0.001113,0.001239,0.001067,0.001166,0.001963,0.000916,0.003124,0.002589,0.003905,0.004153,0.001783,0.002042,0.001772,Baeolophus_bicolor_clean
0.165500,0.035445,2.904003,0.203615,0.129144,0.380595,0.026964,0.185113,-32.736778,-1.782768,0.956118,-0.487161,0.093809,0.115257,-0.296106,0.379494,-0.390514,0.370734,-0.304888,0.222949,-0.135949,0.000511,0.000478,0.000490,0.000465,0.011862,0.004004,0.005632,0.004633,0.000627,0.000608,0.000758,0.000945,0.006784,0.053251,0.044337,0.427182,0.050620,0.035459,0.324090,0.019919,0.065588,3.924467,0.959463,0.393360,0.276571,0.283042,0.304974,0.339698,0.332745,0.305734,0.260440,0.219482,0.202416,0.202546,0.000985,0.000924,0.000930,0.000802,0.022975,0.007450,0.013019,0.012269,0.001165,0.001139,0.001914,0.001888,0.007484,Baeolophus_bicolor_clean
0.129918,0.079010,2.931976,0.174385,0.139436,0.509680,0.029977,0.142514,-29.245189,-2.290019,1.065206,-0.392217,-0.141109,0.448047,-0.618435,0.650852,-0.581547,0.450300,-0.283557,0.139345,-0.024461,0.000219,0.000457,0.001605,0.006746,0.003448,0.010155,0.005352,0.002077,0.001042,0.000165,0.001023,0.000132,0.007049,0.035584,0.086372,0.388863,0.043400,0.035817,0.386707,0.016744,0.052911,2.821851,0.788913,0.364881,0.297179,0.305858,0.319743,0.302349,0.244804,0.223197,0.230032,0.229945,0.224757,0.208824,0.000537,0.001113,0.003265,0.012220,0.008233,0.017883,0.008893,0.004700,0.002136,0.000304,0.002442,0.000259,0.006426,Baeolophus_bicolor_clean
0.062529,0.016765,2.828018,0.117717,0.133994,0.166006,0.039200,0.065006,-35.503996,-0.224631,0.801105,0.010747,-0.082548,0.299328,-0.402214,0.355669,-0.365253,0.233519,-0.182859,0.061655,-0.029927,0.008888,0.000231,0.017254,0.007259,0.043014,0.006670,0.016637,0.000127,0.002051,0.005697,0.009776,0.000817,0.022651,0.027057,0.020611,0.413529,0.058369,0.062877,0.209164,0.039520,0.030045,5.342313,1.123662,0.435997,0.361798,0.337273,0.323250,0.293088,0.269446,0.255999,0.274380,0.277643,0.261632,0.224481,0.010452,0.000489,0.023031,0.014031,0.041565,0.011929,0.022061,0.000210,0.003250,0.007544,0.012537,0.001710,0.013159,Baeolophus_bicolor_clean
0.101027,0.019627,2.788262,0.141965,0.135315,0.255653,0.024804,0.114950,-30.047797,-0.340900,0.670424,-1.111352,0.072295,-0.388903,-0.004073,0.063905,0.079494,0.117424,-0.008966,-0.024236,0.030835,0.011738,0.006995,0.005313,0.003645,0.003096,0.002918,0.005198,0.003713,0.003652,0.007434,0.013468,0.014298,0.010965,0.022403,0.020181,0.356661,0.030757,0.038809,0.259894,0.013909,0.022530,2.476849,1.049595,0.673428,0.489324,0.434810,0.391902,0.420077,0.367705,0.353061,0.279200,0.262584,0.243048,0.226299,0.013037,0.009235,0.009904,0.006011,0.005208,0.005013,0.008000,0.006016,0.005571,0.009576,0.014821,0.016379,0.006358,Baeolophus_bicolor_clean
